gid,nse_gauged,nse_ung_raw,nse_ung_now,chalk,gauge_name,pen_raw,pen_now,nse_ung_sim,pen_sim
6007,0.8587746024131775,0.7925757765769958,0.8329797983169556,False,Ness at Ness-side,0.0661988258361816,0.0257948040962219,0.8345422148704529,0.02423238754272461
7001,0.6715590953826904,0.5760707855224609,0.692290186882019,False,Findhorn at Shenachie,0.0954883098602294,-0.0207310914993286,0.7086741924285889,-0.03711509704589844
7002,0.6846078634262085,0.6439996957778931,0.7404450178146362,False,Findhorn at Forres,0.0406081676483154,-0.0558371543884277,0.7512966394424438,-0.06668877601623535
7003,0.7578054666519165,0.6944131851196289,0.6500611305236816,False,Lossie at Sheriffmills,0.0633922815322876,0.1077443361282348,0.7236758470535278,0.03412961959838867
8004,0.6891534924507141,0.6743152141571045,0.8802034258842468,False,Avon at Delnashaugh,0.0148382782936096,-0.1910499334335327,0.8654676675796509,-0.17631417512893677
8005,0.7197362184524536,0.480595052242279,-0.0547093152999877,False,Spey at Boat of Garten,0.2391411662101746,0.7744455337524414,0.18269342184066772,0.5370427966117859
8006,0.7430554628372192,0.6239715814590454,0.6709942817687988,False,Spey at Boat o Brig,0.1190838813781738,0.0720611810684204,0.6801191568374634,0.06293630599975586
8009,0.6740823984146118,0.6280243396759033,0.7954310774803162,False,Dulnain at Balnaan Bridge,0.0460580587387084,-0.1213486790657043,0.7934908270835876,-0.11940842866897583
9002,0.7950109839439392,0.7908321022987366,0.8669039011001587,False,Deveron at Muiresk,0.0041788816452026,-0.0718929171562194,0.8675492405891418,-0.07253825664520264
9003,0.7898980975151062,0.7798327207565308,0.7901493310928345,False,Isla at Grange,0.0100653767585754,-0.0002512335777282,0.7769485712051392,0.012949526309967041
9005,0.6748462915420532,0.6148536205291748,0.8672089576721191,False,Allt Deveron at Cabrach,0.0599926710128784,-0.1923626661300659,0.8606386780738831,-0.18579238653182983
10002,0.7577994465827942,0.7396602630615234,0.7914060354232788,False,Ugie at Inverugie,0.0181391835212707,-0.0336065888404846,0.801115870475769,-0.043316423892974854
11001,0.8499066829681396,0.8126047849655151,0.895585298538208,False,Don at Parkhill,0.0373018980026245,-0.0456786155700683,0.8858527541160583,-0.0359460711479187
11003,0.7634883522987366,0.7387996912002563,0.8370840549468994,False,Don at Bridge of Alford,0.0246886610984802,-0.0735957026481628,0.8277204036712646,-0.06423205137252808
12001,0.7086609601974487,0.6710847616195679,0.7060627937316895,False,Dee at Woodend,0.0375761985778808,0.0025981664657592,0.6939090490341187,0.014751911163330078
12002,0.7700648903846741,0.7452560663223267,0.8101197481155396,False,Dee at Park,0.0248088240623474,-0.0400548577308654,0.7918785214424133,-0.021813631057739258
14001,0.904593288898468,0.9034273028373718,0.924991250038147,False,Eden at Kemback,0.0011659860610961,-0.0203979611396789,0.9179102778434753,-0.013316988945007324
14002,0.8538455963134766,0.8319088220596313,0.8729537725448608,False,Dighty Water at Balmossie Mill,0.0219367742538452,-0.0191081762313842,0.8631370067596436,-0.009291410446166992
15006,0.8819364309310913,0.8533650040626526,0.874679684638977,False,Tay at Ballathie,0.0285714268684387,0.0072567462921142,0.8878381252288818,-0.005901694297790527
15007,0.8923454284667969,0.7660565972328186,0.6829023957252502,False,Tay at Pitnacree,0.1262888312339782,0.2094430327415466,0.6742687225341797,0.2180767059326172
15010,0.8244328498840332,0.8254774212837219,0.8441087603569031,False,Isla at Wester Cardean,-0.0010445713996887,-0.0196759104728698,0.8437668085098267,-0.019333958625793457
15011,0.7129493951797485,0.4757475256919861,0.1815704107284546,False,Lyon at Comrie Bridge,0.2372018694877624,0.531378984451294,0.22189080715179443,0.4910585880279541
15012,0.8337042927742004,0.6228524446487427,0.7668648958206177,False,Tummel at Pitlochry,0.2108518481254577,0.0668393969535827,0.7838355898857117,0.04986870288848877
15013,0.7624183297157288,0.7157086730003357,0.7746527791023254,False,Almond at Almondbank,0.046709656715393,-0.0122344493865966,0.7746690511703491,-0.012250721454620361
16001,0.8808640241622925,0.8705970644950867,0.9297120571136476,False,Earn at Kinkell Bridge,0.0102669596672058,-0.0488480329513549,0.9247997999191284,-0.04393577575683594
16003,0.7989590167999268,0.6856751441955566,0.7612667679786682,False,Ruchill Water at Cultybraggan,0.1132838726043701,0.0376922488212585,0.7568882703781128,0.042070746421813965
16004,0.9019893407821656,0.8807141780853271,0.9274048805236816,False,Earn at Forteviot Bridge,0.0212751626968384,-0.025415539741516,0.9356973171234131,-0.03370797634124745
17001,0.8164653778076172,0.7816393375396729,0.8253592252731323,False,Carron at Headswood,0.0348260402679443,-0.0088938474655151,0.8263939619064331,-0.009928584098815918
17003,0.8048651218414307,0.7902584075927734,0.7744835615158081,False,Bonny Water at Bonnybridge,0.0146067142486572,0.0303815603256225,0.8037062883377075,0.0011588335037231445
17005,0.8797832727432251,0.8657076358795166,0.8870733380317688,False,Avon at Polmonthill,0.0140756368637084,-0.0072900652885437,0.8857936859130859,-0.00601041316986084
